"","LT2_tag","SL1344_tag","evalue_ab","bitscore_ab","evalue_ba","bitscore_ba"
"963","STM1060","SL1344_1000",0,855,0,855
"964","STM1061","SL1344_1001",0,1566,0,1566
"965","STM1062","SL1344_1002",0,1406,0,1406
"966","STM1063","SL1344_1003",0,1000,0,1000
"967","STM1064","SL1344_1004",0,1245,0,1245
"968","STM1065","SL1344_1005",2.4e-132,465,2.37e-132,465
"969","STM1066","SL1344_1006",1.3e-36,144,1.29e-36,144
"970","STM1067","SL1344_1007",1.47e-119,423,1.45e-119,423
"971","STM1068","SL1344_1008",0,1228,0,1215
"972","STM1069","SL1344_1009",3.76e-101,361,3.72e-101,361
"973","STM1070","SL1344_1010",0,773,0,773
"974","STM1071","SL1344_1011",4.06e-100,358,4.02e-100,358
"975","STM1072","SL1344_1012",3.09e-138,485,3.06e-138,485
"976","STM1073","SL1344_1013",0,1097,0,1097
"977","STM1074","SL1344_1014",1.79e-100,359,1.77e-100,359
"978","STM1075","SL1344_1015",0,1636,0,1636
"979","STM1076","SL1344_1016",2.19e-106,379,2.17e-106,379
"980","STM1077","SL1344_1017",8.9e-154,537,8.81e-154,537
"981","STM1078","SL1344_1018",2.65e-98,352,2.62e-98,352
"982","STM1079","SL1344_1019",9.5e-71,259,9.41e-71,259
"983","STM1080","SL1344_1020",0,957,0,957
"984","STM1081","SL1344_1021",1.7e-124,439,1.68e-124,439
"985","STM1082","SL1344_1022",4.86e-180,624,4.82e-180,624
"986","STM1083","SL1344_1023",2.68e-61,228,2.65e-61,228
"987","STM1084","SL1344_1024",1.62e-72,265,1.6e-72,265
"988","STM1085","SL1344_1025",1.68e-137,483,1.42e-137,483
"989","STM1087","SL1344_1026",3.27e-161,561,3.24e-161,561
"990","STM1088","SL1344_1027",0,704,0,704
"991","STM1089","SL1344_1028",5.53e-68,250,5.63e-68,250
"992","STM1090","SL1344_1029",3.78e-74,271,3.74e-74,271
"993","STM1091","SL1344_1030",0,1306,0,1306
"994","STM1092","SL1344_1031",3.81e-37,146,3.78e-37,146
"995","STM1093","SL1344_1032",8.75e-23,97.7,8.66e-23,97.7
"996","STM1094","SL1344_1033",0,1194,0,1194
"997","STM1095","SL1344_1034",0,1043,0,1043
"998","STM1096","SL1344_1035",1.77e-168,586,1.76e-168,586
"999","STM1097","SL1344_1036",2.81e-91,328,2.78e-91,328
"1000","STM1098","SL1344_1037",1.44e-119,423,1.43e-119,423
"1001","STM1099","SL1344_1038",0,1268,0,1268
"1002","STM1100","SL1344_1039",1.92e-101,362,1.9e-101,362
"1003","STM1101","SL1344_1040",0,904,0,904
"1004","STM1102","SL1344_1041",0,1169,0,1169
"1005","STM1103","SL1344_1042",0,698,0,698
"1006","STM1104","SL1344_1043",7.8e-85,307,7.73e-85,307
"1007","STM1105","SL1344_1044",0,639,0,639
"1008","STM1106","SL1344_1045",2.06e-169,589,2.04e-169,589
"1009","STM1107","SL1344_1046",0,1105,0,1105
"1010","STM1108","SL1344_1047",0,728,0,728
"1011","STM1109","SL1344_1048",0,730,0,730
"1012","STM1110","SL1344_1049",1.72e-83,302,1.71e-83,302
"1013","STM1111","SL1344_1050",1.91e-57,152,1.89e-57,152
"1014","STM1112","SL1344_1051",0,734,0,734
"1015","STM1113","SL1344_1052",2.59e-80,292,2.57e-80,292
"1016","STM1114","SL1344_1053",0,1504,0,1504
"1017","STM1115","SL1344_1054",1.83e-139,489,1.81e-139,489
"1018","STM1116","SL1344_1055",2.91e-104,372,2.88e-104,372
"1019","STM1117","SL1344_1056",0,957,0,957
"1020","STM1118","SL1344_1057",2.17e-51,194,2.15e-51,194
"1021","STM1119","SL1344_1058",2.03e-141,495,2.01e-141,495
"1022","STM1121","SL1344_1059",7.12e-38,149,7.05e-38,149
"1023","STM1122","SL1344_1060",7.26e-140,490,7.19e-140,490
"1024","STM1123","SL1344_1061",4.26e-85,308,4.21e-85,308
"1025","STM1124","SL1344_1062",0,2613,0,2613
"1026","STM1125","SL1344_1063",0,1086,0,1086
"1027","STM1126","SL1344_1064",0,686,0,686
"1028","STM1127","SL1344_1065",0,731,0,731
"1029","STM1128","SL1344_1066",0,1132,0,1132
"1030","STM1129","SL1344_1067",7.24e-163,567,7.17e-163,567
"1031","STM1130","SL1344_1068",0,921,0,921
"1032","STM1131","SL1344_1069",1.29e-161,563,1.28e-161,563
"1033","STM1132","SL1344_1070",0,1015,0,1015
"1034","STM1133","SL1344_1071",0,878,0,878
"1035","STM1135","SL1344_1072",0,753,0,753
"1036","STM1136","SL1344_1073",4.19e-175,608,4.15e-175,608
"1037","STM1137","SL1344_1074",1.46e-130,459,1.44e-130,459
"1038","STM1138","SL1344_1075",6.75e-110,391,5.83e-110,391
"1039","STM1139","SL1344_1076",2.57e-171,595,2.23e-171,595
"1040","STM1140","SL1344_1077",6.8e-90,324,6.74e-90,324
"1041","STM1141","SL1344_1078",3.67e-87,314,3.63e-87,314
"1042","STM1142","SL1344_1079",9.48e-147,513,9.39e-147,513
"1043","STM1143","SL1344_1080",9.83e-105,373,9.74e-105,373
"1044","STM1144","SL1344_1081",1.34e-88,319,1.33e-88,319
"1045","STM1145","SL1344_1082",2.23e-68,252,2.2e-68,252
"1046","STM1146","SL1344_1083",1.15e-72,266,1.13e-72,266
"1047","STM1147","SL1344_1084",8.08e-120,423,8e-120,423
"1048","STM1148","SL1344_1085",0,841,0,841
"1049","STM1149","SL1344_1086",0,900,0,900
"1050","STM1150","SL1344_1087",0,1243,0,1243
"1051","STM1151","SL1344_1088",0,1968,0,1968
"1052","STM1152","SL1344_1089",1.85e-49,188,1.84e-49,188
"1053","STM1153","SL1344_1090",3.97e-85,308,3.93e-85,308
"1054","STM1154","SL1344_1091",0,611,0,611
"1055","STM1155","SL1344_1092",0,761,0,761
"1056","STM1156","SL1344_1093",0,828,0,828
"1057","STM1157","SL1344_1094",3.97e-126,445,3.93e-126,445
"1058","STM1158","SL1344_1095",1.2e-131,463,1.19e-131,463
"1059","STM1159","SL1344_1096",3.63e-22,95.7,3.59e-22,95.7
"1060","STM1160","SL1344_1097",0,873,0,873
"1061","STM1161","SL1344_1098",3.64e-55,207,3.68e-55,207
"1062","STM1162","SL1344_1099",2.7e-52,198,2.67e-52,198
"1063","STM1163","SL1344_1100",0,840,0,840
"1064","STM1164","SL1344_1101",2.81e-122,432,2.78e-122,432
"1065","STM1165","SL1344_1102",2.63e-147,515,2.61e-147,515
"1066","STM1166","SL1344_1103",0,949,0,949
"1067","STM1167","SL1344_1104",1.14e-138,486,1.13e-138,486
"1068","STM1168","SL1344_1105",1.19e-137,483,1.18e-137,483
"1069","STM1169","SL1344_1106",0,731,0,731
"1070","STM1170","SL1344_1107",0,1123,0,1123
"1071","STM1171","SL1344_1108",8.13e-92,330,8.05e-92,330
"1072","STM1172","SL1344_1109",3.87e-61,227,3.83e-61,227
"1073","STM1173","SL1344_1110",3.17e-149,522,3.14e-149,522
"1074","STM1174","SL1344_1111",2.45e-97,348,2.42e-97,348
"1075","STM1175","SL1344_1112",6.09e-97,347,6.03e-97,347
"1076","STM1176","SL1344_1113",1.11e-155,543,1.1e-155,543
"1077","STM1177","SL1344_1114",0,736,0,736
"1078","STM1178","SL1344_1115",1.96e-165,576,1.94e-165,576
"1079","STM1179","SL1344_1116",2.59e-164,572,2.57e-164,572
"1080","STM1180","SL1344_1117",2.66e-150,525,2.64e-150,525
"1081","STM1181","SL1344_1118",0,658,0,658
"1082","STM1182","SL1344_1119",0,692,0,692
"1083","STM1183","SL1344_1120",0,988,0,988
"1084","STM1184","SL1344_1121",0,576,0,576
"1085","STM1185","SL1344_1122",0,1130,0,1130
"1086","STM1187","SL1344_1123",0,560,0,560
"1087","STM1188","SL1344_1124",1.29e-168,586,1.27e-168,586
"1088","STM1189","SL1344_1126",1.23e-131,463,1.22e-131,463
"1089","STM1190","SL1344_1127",7.82e-120,423,7.75e-120,423
"1090","STM1191","SL1344_1128",1.03e-36,145,1.02e-36,145
"1091","STM1192","SL1344_1129",0,707,0,707
"1092","STM1193","SL1344_1130",0,769,0,769
"1093","STM1194","SL1344_1131",0,674,0,674
"1094","STM1195","SL1344_1132",0,629,0,629
"1095","STM1196","SL1344_1133",3.96e-50,190,3.92e-50,190
"1096","STM1197","SL1344_1134",0,953,0,953
"1097","STM1198","SL1344_1135",0,631,0,631
"1098","STM1199","SL1344_1136",0,765,0,765
"1099","STM1200","SL1344_1137",1.62e-149,522,1.6e-149,522
"1100","STM1201","SL1344_1138",0,524,0,524
"1101","STM1202","SL1344_1139",0,652,0,652
"1102","STM1203","SL1344_1140",0,1176,0,1176
"1103","STM1204","SL1344_1141",0,1707,0,1707
"1104","STM1205","SL1344_1142",1.47e-77,282,1.46e-77,282
"1105","STM1206","SL1344_1143",4e-81,294,3.96e-81,294
"1106","STM1207","SL1344_1144",3.24e-127,383,3.2e-127,383
"1107","STM1208","SL1344_1145",0,676,0,676
"1108","STM1209","SL1344_1146",0,837,0,837
"1109","STM1210","SL1344_1147",7.52e-127,447,7.44e-127,447
"1110","STM1211","SL1344_1148",0,1029,0,1029
"1111","STM1212","SL1344_1149",1.2e-120,426,1.19e-120,426
"1112","STM1213","SL1344_1150",1.07e-144,506,1.06e-144,506
"1113","STM1214","SL1344_1151",1.02e-47,182,1.01e-47,182
"1114","STM1215","SL1344_1152",0,734,0,734
"1115","STM1216","SL1344_1153",0,2322,0,2322
"1116","STM1217","SL1344_1154",0,889,0,889
"1117","STM1218","SL1344_1155",1.8e-157,549,1.78e-157,549
"1118","STM1219","SL1344_1156",0,693,0,693
"1119","STM1220","SL1344_1157",0,593,0,593
"1120","STM1221","SL1344_1158",0,659,0,659
"1121","STM1222","SL1344_1159",0,785,0,785
"1122","STM1223","SL1344_1160",4.48e-167,581,4.43e-167,581
"1123","STM1224","SL1344_1161",0,774,0,774
"1124","STM1225","SL1344_1162",0,700,0,700
"1125","STM1226","SL1344_1163",0,903,0,903
"1126","STM1227","SL1344_1164",0,947,0,947
"1127","STM1228","SL1344_1165",0,1012,0,1012
"1128","STM1229","SL1344_1167",0,889,0,889
"1129","STM1230","SL1344_1168",0,1136,0,1136
"1130","STM1231","SL1344_1169",5.22e-151,528,5.17e-151,528
"1131","STM1232","SL1344_1170",0,1085,0,1085
"1132","STM1233","SL1344_1171",2.63e-143,502,2.61e-143,502
"1133","STM1234","SL1344_1172",0,846,0,846
"1134","STM1235","SL1344_1173",6.67e-108,384,6.6e-108,384
"1135","STM1236","SL1344_1174",2.86e-71,261,2.83e-71,261
"1136","STM1237","SL1344_1175",8.27e-153,533,8.19e-153,533
"1137","STM1238","SL1344_1176",0,1008,0,1008
"1138","STM1239","SL1344_1177",0,913,0,913
"1139","STM1240","SL1344_1179",1.76e-179,622,1.73e-179,622
"1140","STM1241","SL1344_1180",4.39e-55,207,4.35e-55,207
"1141","STM1242","SL1344_1181",5.74e-120,424,5.68e-120,424
"1142","STM1243","SL1344_1182",4e-44,170,3.96e-44,170
"1143","STM1244","SL1344_1183",1.38e-58,219,1.36e-58,219
"1144","STM1246","SL1344_1184",5.28e-106,378,4.24e-106,378
"1145","STM1249","SL1344_1185",7.23e-78,283,7.16e-78,283
"1146","STM1250","SL1344_1186",1.13e-63,236,1.12e-63,236
"1147","STM1251","SL1344_1187",4.98e-104,371,4.93e-104,371
"1148","STM1252","SL1344_1188",0,868,0,868
"1149","STM1253","SL1344_1189",4.57e-121,428,4.53e-121,428
"1150","STM1254","SL1344_1190",7.38e-72,263,7.3e-72,263
"1151","STM1255","SL1344_1191",0,1326,0,1326
"1152","STM1256","SL1344_1192",0,836,0,836
"1153","STM1257","SL1344_1193",0,673,0,673
"1154","STM1258","SL1344_1194",2.08e-173,602,2.06e-173,602
"1155","STM1259","SL1344_1195",4.8e-136,478,4.75e-136,478
"1156","STM1260","SL1344_1196",0,874,0,874
"1157","STM1261","SL1344_1197",1.28e-73,269,1.26e-73,269
"1158","STM1263","SL1344_1198",2.08e-148,519,2.06e-148,519
"1159","STM1264","SL1344_1199",0,627,0,627
"1160","STM1265","SL1344_1200",1.59e-130,459,1.57e-130,459
"1161","STM1266","SL1344_1201",0,681,0,681
"1162","STM1267","SL1344_1202",1.25e-50,192,1.23e-50,192
"1163","STM1268","SL1344_1203",3.06e-30,123,3.03e-30,123
"1164","STM1269","SL1344_1204",2.32e-120,425,2.3e-120,425
"1165","STM1270","SL1344_1205",2.39e-146,512,2.37e-146,512
"1166","STM1271","SL1344_1206",6.37e-80,248,6.21e-80,248
"1167","STM1272","SL1344_1207",1.03e-39,155,1.02e-39,155
"1168","STM1273","SL1344_1208",3.87e-140,491,3.83e-140,491
"1169","STM1274","SL1344_1210",3.49e-59,221,3.46e-59,221
"1170","STM1275","SL1344_1211",4.18e-57,214,4.14e-57,214
"1171","STM1276","SL1344_1212",5.29e-72,264,5.24e-72,264
"1172","STM1277","SL1344_1213",1.4e-77,282,1.39e-77,282
"1173","STM1278","SL1344_1214",0,767,0,767
"1174","STM1279","SL1344_1215",4.58e-167,581,4.53e-167,581
"1175","STM1280","SL1344_1216",2.66e-101,362,2.64e-101,362
"1176","STM1282","SL1344_1217",7.17e-115,407,7.1e-115,407
"1177","STM1283","SL1344_1218",0,1148,0,1148
"1178","STM1284","SL1344_1219",0,766,0,766
"1179","STM1285","SL1344_1220",0,1423,0,1423
"1180","STM1286","SL1344_1221",8.02e-179,620,7.94e-179,620
"1181","STM1287","SL1344_1222",0,986,0,986
"1182","STM1288","SL1344_1223",0,678,0,678
"1183","STM1289","SL1344_1224",0,724,0,724
"1184","STM1290","SL1344_1225",0,745,0,745
"1185","STM1291","SL1344_1226",5.39e-106,377,5.34e-106,377
"1186","STM1292","SL1344_1227",2.43e-60,225,2.41e-60,225
"1187","STM1293","SL1344_1228",6.94e-155,540,6.87e-155,540
"1188","STM1294","SL1344_1229",0,805,0,805
"1189","STM1295","SL1344_1230",0,1444,0,1444
"1190","STM1296","SL1344_1231",3.76e-114,405,3.72e-114,405
"1191","STM1297","SL1344_1232",0,829,0,829
"1192","STM1298","SL1344_1233",0,1555,0,1555
"1193","STM1299","SL1344_1234",0,1090,0,1090
"1194","STM1300","SL1344_1235",2.39e-60,225,2.36e-60,225
"1195","STM1301","SL1344_1236",4.57e-93,334,4.53e-93,334
"1196","STM1302","SL1344_1237",0,659,0,659
"1197","STM1303","SL1344_1238",0,977,0,977
"1198","STM1304","SL1344_1239",0,833,0,833
"1199","STM1305","SL1344_1240",0,993,0,993
"1200","STM1306","SL1344_1241",0,906,0,906
"1201","STM1307","SL1344_1242",0,741,0,741
"1202","STM1308","SL1344_1243",2.35e-102,365,2.32e-102,365
"1203","STM1309","SL1344_1244",0,716,0,716
"1204","STM1310","SL1344_1245",0,652,0,652
"1205","STM1311","SL1344_1246",5.26e-74,270,5.21e-74,270
"1206","STM1312","SL1344_1247",1.82e-70,259,1.8e-70,259
"1207","STM1313","SL1344_1248",0,1055,0,1055
"1208","STM1314","SL1344_1249",1.01e-77,283,9.96e-78,283
"1209","STM1315","SL1344_1250",1.38e-175,610,1.22e-175,610
"1210","STM1316","SL1344_1251",0,1082,0,1082
"1211","STM1317","SL1344_1252",5.08e-173,601,5.03e-173,601
"1212","STM1318","SL1344_1253",0,1674,0,1674
"1213","STM1319","SL1344_1254",1.92e-52,198,1.9e-52,198
"1214","STM1320","SL1344_1255",0,841,0,841
"1215","STM1321","SL1344_1256",3.04e-142,498,3.01e-142,498
"1216","STM1322","SL1344_1257",3.78e-155,541,3.74e-155,541
"1217","STM1323","SL1344_1258",3.63e-122,431,3.59e-122,431
"1218","STM1324","SL1344_1259",0,710,0,710
"1219","STM1325","SL1344_1260",4.46e-63,234,4.42e-63,234
"1220","STM1326","SL1344_1261",0,691,0,691
"1221","STM1327","SL1344_1262",7.52e-177,614,7.45e-177,614
"1222","STM1328","SL1344_1263",0,763,0,763
"1223","STM1329","SL1344_1264",5.82e-57,214,5.76e-57,214
"1224","STM1330","SL1344_1265",1.15e-174,606,1.68e-175,609
"1225","STM1331","SL1344_1330A",2.54e-43,167,2.51e-43,167
"1226","STM1332","SL1344_1266",0,959,0,959
"1227","STM1333","SL1344_1267",0,1571,0,1571
"1228","STM1334","SL1344_1268",4.52e-84,304,5.92e-84,304
"1229","STM1335","SL1344_1269",1.91e-41,161,1.89e-41,161
"1230","STM1336","SL1344_1270",5.18e-77,281,5.13e-77,281
"1231","STM1337","SL1344_1271",0,744,0,744
"1232","STM1338","SL1344_1272",0,1837,0,1837
"1233","STM1339","SL1344_1273",5.92e-66,243,6.23e-66,243
"1234","STM1340","SL1344_1274",5.64e-178,459,5.59e-178,459
"1235","STM1341","SL1344_1275",3.76e-126,445,3.72e-126,445
"1236","STM1342","SL1344_1276",6.88e-173,600,6.81e-173,600
"1237","STM1343","SL1344_1277",1.63e-106,379,1.61e-106,379
"1238","STM1344","SL1344_1278",1.45e-162,566,1.43e-162,566
"1239","STM1345","SL1344_1279",0,1166,0,1166
"1240","STM1346","SL1344_1280",2.75e-38,150,2.72e-38,150
"1241","STM1347","SL1344_1281",0,851,0,851
"1242","STM1348","SL1344_1282",0,647,0,647
"1243","STM1349","SL1344_1283",0,1867,0,1867
"1244","STM1350","SL1344_1284",0,1311,0,1311
"1245","STM1351","SL1344_1285",3.29e-67,248,3.25e-67,248
"1246","STM1352","SL1344_1286",0,688,0,688
"1247","STM1353","SL1344_1287",0,729,0,729
"1248","STM1354","SL1344_1288",1.05e-165,577,1.04e-165,577
"1249","STM1355","SL1344_1289",0,716,0,716
"1250","STM1356","SL1344_1290",0,960,0,960
"1251","STM1357","SL1344_1291",0,1210,0,1210
"1252","STM1358","SL1344_1292",1.04e-177,616,1.03e-177,616
"1253","STM1359","SL1344_1293",0,442,0,442
"1254","STM1360","SL1344_1294",0,634,0,634
"1255","STM1361","SL1344_1296",0,987,0,987
"1256","STM1362","SL1344_1297",2.74e-81,295,2.71e-81,295
"1257","STM1364","SL1344_1298",0,935,0,935
"1258","STM1365","SL1344_1299",0,2405,0,2405
"1259","STM1366","SL1344_1300",1.38e-90,326,1.36e-90,326
"1260","STM1367","SL1344_1301",1.25e-36,145,8.68e-37,145
"1261","STM1368","SL1344_1302",0,1022,0,1022
"1262","STM1369","SL1344_1303",1.28e-83,303,1.27e-83,303
"1263","STM1370","SL1344_1304",0,1199,0,1199
"1264","STM1371","SL1344_1305",1.77e-168,586,1.76e-168,586
"1265","STM1372","SL1344_1306",0,1001,0,1001
"1266","STM1373","SL1344_1307",0,977,0,977
"1267","STM1374","SL1344_1308",7.97e-92,330,7.9e-92,330
"1268","STM1375","SL1344_1309",0,790,0,790
"1269","STM1376","SL1344_1310",8.29e-51,193,8.21e-51,193
"1270","STM1377","SL1344_1311",5.9e-47,180,5.84e-47,180
"1271","STM1378","SL1344_1312",0,1029,0,1031
"1272","STM1379","SL1344_1313",0,924,0,924
"1273","STM1380","SL1344_1314",0,729,0,729
"1274","STM1381","SL1344_1315",7.9e-175,607,7.83e-175,607
"1275","STM1382","SL1344_1316",0,966,0,966
"1276","STM1383","SL1344_1317",0,1191,0,1191
"1277","STM1384","SL1344_1318",0,566,0,778
"1278","STM1385","SL1344_1319",1.65e-171,596,1.64e-171,596
"1279","STM1386","SL1344_1320",0,842,0,842
"1280","STM1387","SL1344_1321",3.43e-135,475,3.52e-135,475
"1281","STM1388","SL1344_1322",1.38e-47,182,1.37e-47,182
"1282","STM1389","SL1344_1323",0,781,0,781
"1283","STM1390","SL1344_1324",1.74e-168,586,1.72e-168,586
"1284","STM1391","SL1344_1325",9.98e-144,503,9.88e-144,503
"1285","STM1392","SL1344_1326",0,2052,0,2052
"1286","STM1393","SL1344_1327",1.68e-89,322,1.66e-89,322
"1287","STM1394","SL1344_1328",0,1178,0,1178
"1288","STM1395","SL1344_1329",0,968,0,968
"1289","STM1396","SL1344_1330",1.19e-50,192,1.18e-50,192
"1290","STM1397","SL1344_1331",7.23e-55,207,8.63e-57,213
"1291","STM1398","SL1344_1332",9.87e-133,467,9.77e-133,467
"1292","STM1399","SL1344_1333",1.42e-108,386,1.41e-108,386
"1293","STM1400","SL1344_1334",0,643,0,643
"1294","STM1401","SL1344_1335",1.57e-138,486,1.55e-138,486
"1295","STM1402","SL1344_1336",3.64e-94,338,3.6e-94,338
"1296","STM1403","SL1344_1337",1.36e-101,363,1.35e-101,363
"1297","STM1404","SL1344_1338",0,652,0,652
"1298","STM1405","SL1344_1339",1.29e-161,563,1.28e-161,563
"1299","STM1406","SL1344_1340",1.81e-46,178,1.79e-46,178
"1300","STM1407","SL1344_1341",1.09e-50,192,1.08e-50,192
"1301","STM1408","SL1344_1342",1.71e-54,205,1.69e-54,205
"1302","STM1409","SL1344_1343",2.65e-153,535,2.63e-153,535
"1303","STM1410","SL1344_1344",1.83e-117,416,1.81e-117,416
"1304","STM1411","SL1344_1345",5.65e-152,531,5.59e-152,531
"1305","STM1412","SL1344_1346",0,796,0,796
"1306","STM1413","SL1344_1347",9.46e-84,303,9.37e-84,303
"1307","STM1414","SL1344_1348",0,1565,0,1565
"1308","STM1415","SL1344_1349",0,1049,0,1049
"1309","STM1416","SL1344_1350",2.51e-79,288,2.49e-79,288
"1310","STM1417","SL1344_1351",2.48e-83,302,2.46e-83,302
"1311","STM1418","SL1344_1352",0,782,0,782
"1312","STM1419","SL1344_1353",2.09e-136,479,2.07e-136,479
"1313","STM1420","SL1344_1354",4.27e-60,224,4.22e-60,224
"1314","STM1421","SL1344_1355",0,628,0,628
"1315","STM1422","SL1344_1356",0,812,0,812
"1316","STM1425","SL1344_1357",0,1038,0,1038
"1317","STM1426","SL1344_1358",1.49e-148,519,1.48e-148,519
"1318","STM1427","SL1344_1359",0,946,0,946
"1319","STM1428","SL1344_1360",0,919,0,919
"1320","STM1429","SL1344_1361",0,761,0,761
"1321","STM1430","SL1344_1362",0,818,0,818
"1322","STM1431","SL1344_1363",6.01e-131,461,5.95e-131,461
"1323","STM1432","SL1344_1364",1.29e-164,463,1.27e-164,463
"1324","STM1433","SL1344_1365",9.29e-77,280,9.2e-77,280
"1325","STM1434","SL1344_1366",3.08e-149,522,3.05e-149,522
"1326","STM1435","SL1344_1367",4.8e-90,324,4.76e-90,324
"1327","STM1436","SL1344_1368",0,872,0,872
"1328","STM1437","SL1344_1369",7.27e-141,494,7.2e-141,494
"1329","STM1438","SL1344_1370",9.94e-53,199,9.85e-53,199
"1330","STM1439","SL1344_1371",0,668,0,668
"1331","STM1440","SL1344_1372",1.26e-117,416,1.25e-117,416
"1332","STM1441","SL1344_1373",0,1086,0,1086
"1333","STM1442","SL1344_1374",0,712,0,712
"1334","STM1443","SL1344_1375",2.46e-52,198,2.44e-52,198
"1335","STM1444","SL1344_1376",1.5e-98,352,1.49e-98,352
"1336","STM1445","SL1344_1377",4.94e-104,371,4.89e-104,371
"1337","STM1446","SL1344_1378",0,896,0,896
"1338","STM1447","SL1344_1379",1.64e-72,265,1.63e-72,265
"1339","STM1448","SL1344_1380",1.53e-152,533,1.52e-152,533
"1340","STM1449","SL1344_1381",0,990,0,990
"1341","STM1450","SL1344_1382",0,678,0,678
"1342","STM1451","SL1344_1383",3.09e-138,485,3.06e-138,485
"1343","STM1452","SL1344_1384",0,1218,0,1218
"1344","STM1453","SL1344_1385",3.01e-145,508,2.98e-145,508
"1345","STM1454","SL1344_1386",5.83e-156,544,5.77e-156,544
"1346","STM1455","SL1344_1387",2.14e-141,495,2.12e-141,495
"1347","STM1456","SL1344_1388",0,837,0,837
"1348","STM1457","SL1344_1389",0,1076,0,1076
"1349","STM1458","SL1344_1390",3.69e-137,481,3.65e-137,481
"1350","STM1459","SL1344_1391",1.22e-135,476,1.21e-135,476
"1351","STM1460","SL1344_1392",3.35e-104,371,3.32e-104,371
"1352","STM1461","SL1344_1393",1.72e-45,175,1.88e-45,175
"1353","STM1462","SL1344_1394",0,837,0,837
"1354","STM1463","SL1344_1395",0,798,0,798
"1355","STM1466","SL1344_1396",0,1093,0,1093
"1356","STM1467","SL1344_1397",0,916,0,916
"1357","STM1468","SL1344_1398",0,1312,0,1312
"1358","STM1469","SL1344_1400",0,1037,0,1037
"1359","STM1470","SL1344_1401",0,736,0,736
"1360","STM1471","SL1344_1402",0,1021,0,1021
"1361","STM1472","SL1344_1403",0,1281,0,1281
"1362","STM1473","SL1344_1404",0,880,0,880
"1363","STM1475","SL1344_1405",3.83e-170,591,3.83e-170,591
"1364","STM1476","SL1344_1406",7.62e-75,273,7.55e-75,273
"1365","STM1477","SL1344_1407",0,1010,0,1010
"1366","STM1478","SL1344_1408",0,713,0,713
"1367","STM1479","SL1344_1409",0,954,0,954
"1368","STM1480","SL1344_1410",0,955,0,955
"1369","STM1481","SL1344_1411",0,767,0,767
"1370","STM1482","SL1344_1412",2.21e-82,298,2.19e-82,298
"1371","STM1483","SL1344_1413",1.02e-74,273,1.01e-74,273
"1372","STM1484","SL1344_1414",0,657,0,657
"1373","STM1485","SL1344_1415",2.11e-62,232,2.09e-62,232
"1374","STM1486","SL1344_1416",0,835,0,835
"1375","STM1487","SL1344_1417",0,657,0,657
"1376","STM1488","SL1344_1418",0,929,0,929
"1377","STM1489","SL1344_1419",8.72e-153,533,8.63e-153,533
"1378","STM1490","SL1344_1420",0,917,0,917
"1379","STM1491","SL1344_1421",0,901,0,901
"1380","STM1492","SL1344_1422",3.94e-136,478,3.9e-136,478
"1381","STM1493","SL1344_1423",0,733,0,733
"1382","STM1494","SL1344_1424",1.69e-168,586,1.67e-168,586
"1383","STM1495","SL1344_1425",5.46e-145,507,5.4e-145,507
"1384","STM1496","SL1344_1426",0,653,0,653
"1385","STM1498","SL1344_1428",0,1920,0,1920
"1386","STM1499","SL1344_1429",0,1906,0,1906
"1387","STM1500","SL1344_1430",4.17e-65,241,4.13e-65,241
"1388","STM1501","SL1344_1431",5.63e-171,594,5.58e-171,594
"1389","STM1502","SL1344_1432",3.27e-128,451,3.24e-128,451
"1390","STM1503","SL1344_1433",1.46e-78,286,1.44e-78,286
"1391","STM1504","SL1344_1434",7.22e-71,260,7.15e-71,260
"1392","STM1505","SL1344_1435",0,1014,0,1014
"1393","STM1506","SL1344_1436",0,815,0,815
"1394","STM1507","SL1344_1437",0,731,0,731
"1395","STM1508","SL1344_1438",0,1157,0,1157
"1396","STM1509","SL1344_1439",9.98e-41,159,9.88e-41,159
"1397","STM1510","SL1344_1440",2.23e-148,519,2.2e-148,519
"1398","STM1511","SL1344_1441",1.4e-173,603,1.38e-173,603
"1399","STM1512","SL1344_1442",0,1603,0,1603
"1400","STM1513","SL1344_1443",3.4e-38,150,3.36e-38,150
"1401","STM1514","SL1344_1444",3.67e-113,263,3.67e-113,263
"1402","STM1515","SL1344_1445",3.59e-87,314,3.56e-87,314
"1403","STM1516","SL1344_1446",0,976,0,976
"1404","STM1517","SL1344_1447",0,661,0,661
"1405","STM1518","SL1344_1448",8.84e-46,176,8.76e-46,176
"1406","STM1519","SL1344_1449",8.46e-88,317,7.29e-88,317
"1407","STM1520","SL1344_1450",1.74e-96,346,1.73e-96,346
"1408","STM1521","SL1344_1451",3.45e-158,551,3.42e-158,551
"1409","STM1522","SL1344_1452",0,671,0,671
"1410","STM1523","SL1344_1453",0,697,0,697
"1411","STM1524","SL1344_1454",0,1119,0,1119
"1412","STM1525","SL1344_1455",0,759,0,759
"1413","STM1526","SL1344_1456",2.16e-82,298,2.14e-82,298
"1414","STM1527","SL1344_1457",0,719,0,719
"1415","STM1528","SL1344_1458",1.32e-125,443,1.31e-125,443
"1416","STM1530","SL1344_1459",0,888,0,888
"1417","STM1531","SL1344_1460",9.06e-77,280,8.97e-77,280
"1418","STM1532","SL1344_1461",0,696,0,696
"1419","STM1533","SL1344_1462",0,834,0,834
