LT2_tag,SL1344_tag,evalue_ab,bitscore_ab,evalue_ba,bitscore_ba
STM0552,SL1344_0545,1.89E-128,452,1.87E-128,452
STM0557,SL1344_0547,0,1340,0,1340
STM0558,SL1344_0548,0,729,0,729
STM0559,SL1344_0549,2.59E-84,305,2.57E-84,305
STM0561,SL1344_0550,6.86E-74,270,6.79E-74,270
STM0562,SL1344_0550A,5.92E-41,159,9.63E-41,159
STM0563,SL1344_0551,0,674,0,674
STM0564,SL1344_0552,0,945,0,945
STM0565,SL1344_0553,2.73E-49,188,2.7E-49,188
STM0566,SL1344_0554,3.54E-125,441,3.51E-125,441
STM0567,SL1344_0555,0,826,0,826
STM0568,SL1344_0556,0,1092,0,1092
STM0569,SL1344_0557,0,910,0,910
STM0570,SL1344_0558,0,1081,0,1081
STM0571,SL1344_0559,0,1954,0,1954
STM0572,SL1344_0560,0,807,0,807
STM0573,SL1344_0561,0,811,0,811
STM0574,SL1344_0562,0,648,0,648
STM0575,SL1344_0563,2.24E-147,516,1.99E-147,516
STM0576,SL1344_0564,8.03E-98,350,7.95E-98,350
STM0577,SL1344_0565,1.32E-100,359,1.3E-100,359
STM0578,SL1344_0566,6.9E-147,514,6.83E-147,514
STM0579,SL1344_0567,3.11E-86,311,3.08E-86,311
STM0580,SL1344_0568,1.32E-132,466,1.31E-132,466
STM0581,SL1344_0569,3.54E-77,281,3.5E-77,281
STM0582,SL1344_0570,1.71E-58,218,1.69E-58,218
STM0583,SL1344_0571,0,870,0,870
STM0584,SL1344_0572,6.44E-161,560,6.38E-161,560
STM0585,SL1344_0573,0,1728,0,1728
STM0586,SL1344_0574,0,1020,0,1020
STM0587,SL1344_0575,2.62E-50,191,2.59E-50,191
STM0588,SL1344_0576,0,2966,0,2966
STM0589,SL1344_0577,0,916,0,916
STM0590,SL1344_0578,2.43E-171,595,2.4E-171,595
STM0591,SL1344_0579,0,764,0,764
STM0592,SL1344_0580,0,709,0,709
STM0593,SL1344_0581,0,464,0,464
STM0594,SL1344_0582,0,744,0,744
STM0595,SL1344_0583,0,926,0,926
STM0596,SL1344_0584,0,1279,0,1279
STM0597,SL1344_0585,0,650,0,650
STM0598,SL1344_0586,2.68E-169,588,2.65E-169,588
STM0599,SL1344_0587,4.9E-90,324,4.86E-90,324
STM0600,SL1344_0588,0,1674,0,1674
STM0601,SL1344_0589,2.31E-43,167,2.29E-43,167
STM0602,SL1344_0590,0,867,0,867
STM0603,SL1344_0591,0,922,0,922
STM0604,SL1344_0592,4E-141,495,3.96E-141,495
STM0605,SL1344_0593,0,1053,0,1053
STM0606,SL1344_0594,0,703,0,703
STM0607,SL1344_0595,4.6E-164,571,4.56E-164,571
STM0608,SL1344_0596,1.75E-128,452,1.73E-128,452
STM0609,SL1344_0597,0,1143,0,1143
STM0610,SL1344_0598,6.69E-125,440,6.62E-125,440
STM0611,SL1344_0599,0,1763,0,1763
STM0612,SL1344_0600,2.77E-138,485,2.74E-138,485
STM0613,SL1344_0601,0,635,0,635
STM0614,SL1344_0602,8.29E-104,370,8.21E-104,370
STM0615,SL1344_0603,0,923,0,923
STM0616,SL1344_0604,1.6E-92,332,1.58E-92,332
STM0617,SL1344_0605,0,664,0,664
STM0618,SL1344_0606,0,1205,0,1205
STM0619,SL1344_0607,0,656,0,656
STM0620,SL1344_0608,1.84E-125,442,1.82E-125,442
STM0621,SL1344_0609,0,1181,0,1181
STM0622,SL1344_0610,0,728,0,728
STM0623,SL1344_0611,6.21E-63,233,6.14E-63,233
STM0624,SL1344_0612,0,858,0,858
STM0625,SL1344_0613,0,1268,0,1268
STM0626,SL1344_0614,4.16E-152,531,4.12E-152,531
STM0627,SL1344_0615,0,787,0,787
STM0628,SL1344_0616,2.65E-141,495,2.62E-141,495
STM0629,SL1344_0617,7.34E-44,169,7.47E-44,169
STM0630,SL1344_0618,3.01E-89,321,2.98E-89,321
STM0631,SL1344_0619,7.91E-174,604,7.83E-174,604
STM0632,SL1344_0620,3.85E-45,173,3.81E-45,173
STM0633,SL1344_0621,0,775,0,775
STM0634,SL1344_0622,0,748,0,748
STM0635,SL1344_0623,5.45E-130,457,6.17E-130,457
STM0636,SL1344_0624,1.38E-42,166,7.9E-43,166
STM0637,SL1344_0625,0,960,0,960
STM0638,SL1344_0626,0,584,0,584
STM0639,SL1344_0627,0,730,0,730
STM0640,SL1344_0628,0,1526,0,1526
STM0641,SL1344_0629,4.21E-106,378,4.17E-106,378
STM0642,SL1344_0630,7.49E-72,263,7.41E-72,263
STM0643,SL1344_0631,2.44E-143,502,2.41E-143,502
STM0644,SL1344_0632,0,844,0,844
STM0645,SL1344_0633,1.75E-150,526,1.73E-150,526
STM0646,SL1344_0634,0,744,0,744
STM0647,SL1344_0635,1.06E-129,456,1.05E-129,456
STM0648,SL1344_0636,0,2058,0,2058
STM0649,SL1344_0637,2.03E-70,259,1.6E-70,259
STM0650,SL1344_0638,0,933,0,933
STM0651,SL1344_0639,0,582,0,582
STM0652,SL1344_0640,0,1419,0,1419
STM0653,SL1344_0641,4.68E-111,394,4.63E-111,394
STM0654,SL1344_0642,0,843,0,843
STM0655,SL1344_0643,7.59E-171,593,7.51E-171,593
STM0656,SL1344_0644,0,1060,0,1060
STM0657,SL1344_0645,6.83E-164,472,6.77E-164,472
STM0658,SL1344_0647,0,953,0,953
STM0659,SL1344_0648,0,1308,0,1308
STM0660,SL1344_0649,0,1038,0,1038
STM0661,SL1344_0650,0,736,0,736
STM0662,SL1344_0651,1.6E-159,556,1.58E-159,556
STM0663,SL1344_0652,6.12E-145,507,6.06E-145,507
STM0664,SL1344_0653,3.06E-167,582,3.03E-167,582
STM0665,SL1344_0654,0,735,0,735
STM0666,SL1344_0655,0,1163,0,1163
STM0667,SL1344_0656,0,664,0,664
STM0668,SL1344_0657,2.27E-106,379,2.25E-106,379
STM0669,SL1344_0658,0,835,0,835
STM0670,SL1344_0659,0,1129,0,1129
STM0671,SL1344_0660,0,850,0,850
STM0672,SL1344_0661,1.3E-136,479,1.29E-136,479
STM0680,SL1344_0662,0,1341,0,1341
STM0681,SL1344_0663,1.3E-172,599,1.29E-172,599
STM0682,SL1344_0664,0,963,0,963
STM0683,SL1344_0665,0,912,0,912
STM0684,SL1344_0666,0,643,0,643
STM0685,SL1344_0667,0,1555,0,1555
STM0686,SL1344_0668,0,1354,0,1354
STM0687,SL1344_0669,0,1169,0,1169
STM0688,SL1344_0670,6.95E-74,270,6.88E-74,270
STM0689,SL1344_0671,0,896,0,896
STM0690,SL1344_0672,0,615,0,615
STM0691,SL1344_0673,0,1137,0,1137
STM0692,SL1344_0674,0,735,0,735
STM0693,SL1344_0675,1.7E-103,369,1.68E-103,369
STM0694,SL1344_0676,1.49E-123,436,1.48E-123,436
STM0695,SL1344_0677,1.02E-59,131,1.02E-57,216
STM0696,SL1344_0678,6.09E-179,621,6.03E-179,621
STM0697,SL1344_0679,2.49E-125,442,2.47E-125,442
STM0698,SL1344_0680,0,1257,0,1257
STM0699,SL1344_0681,3.78E-112,398,3.74E-112,398
STM0700,SL1344_0682,0,1026,0,1026
STM0701,SL1344_0683,0,1789,0,1789
STM0702,SL1344_0684,3.26E-153,535,3.23E-153,535
STM0703,SL1344_0685,0,1535,0,1535
STM0704,SL1344_0686,2.94E-138,485,2.91E-138,485
STM0705,SL1344_0687,0,1020,0,1020
STM0706,SL1344_0688,0,854,0,854
STM0707,SL1344_0688A,2.74E-16,76.2,2.4E-16,76.2
STM0708,SL1344_0689,8.11E-46,176,8.03E-46,176
STM0709,SL1344_0690,0,1087,0,1087
STM0710,SL1344_0691,0,1021,0,1021
STM0711,SL1344_0692,3.91E-170,591,3.87E-170,591
STM0712,SL1344_0693,1.31E-150,526,1.3E-150,526
STM0713,SL1344_0694,0,757,0,757
STM0714,SL1344_0695,1.08E-170,593,1.08E-170,593
STM0715,SL1344_0696,5.63E-26,108,5.57E-26,108
STM0716,SL1344_0697,1.1E-130,460,1.09E-130,460
STM0717,SL1344_0698,2.94E-79,288,2.91E-79,288
STM0718,SL1344_0699,1.66E-169,509,1.64E-169,509
STM0719,SL1344_0700,0,934,0,934
STM0720,SL1344_0702,0,671,0,671
STM0721,SL1344_0703,0,898,0,898
STM0722,SL1344_0704,5.6E-178,617,5.54E-178,617
STM0723,SL1344_0705,1.83E-157,549,1.81E-157,549
STM0724,SL1344_0706,0,1400,0,1400
STM0725,SL1344_0707,0,643,0,643
STM0726,SL1344_0708,0,1518,0,1518
STM0727,SL1344_0709,2.34E-30,123,2.32E-30,123
STM0728,SL1344_0710,0,634,0,634
STM0729,SL1344_0711,0,785,0,785
STM0730,SL1344_0712,0,1030,0,1030
STM0731,SL1344_0713,2.8E-80,292,2.66E-80,292
STM0732,SL1344_0714,7.86E-89,320,7.89E-89,320
STM0733,SL1344_0715,1.5E-82,299,1.48E-82,299
STM0734,SL1344_0716,0,1361,0,1361
STM0735,SL1344_0717,7.15E-170,590,7.08E-170,590
STM0736,SL1344_0718,0,2255,0,2255
STM0737,SL1344_0719,0,961,0,961
STM0738,SL1344_0720,0,813,0,813
STM0739,SL1344_0721,0,717,0,717
STM0740,SL1344_0722,0,1244,0,1244
STM0741,SL1344_0723,0,909,0,909
STM0742,SL1344_0724,1.78E-23,100,1.76E-23,100
STM0743,SL1344_0725,6.3E-64,237,6.24E-64,237
STM0744,SL1344_0726,4.06E-88,318,4.02E-88,318
STM0745,SL1344_0727,1.4E-166,579,1.39E-166,579
STM0746,SL1344_0728,8.98E-93,333,8.89E-93,333
STM0748,SL1344_0730,0,1021,0,1021
STM0749,SL1344_0731,3.91E-106,378,3.87E-106,378
STM0750,SL1344_0732,1.15E-160,382,1.14E-160,382
STM0756,SL1344_0733,0,845,0,845
STM0757,SL1344_0734,2.56E-169,588,2.54E-169,588
STM0758,SL1344_0735,0,756,0,756
STM0759,SL1344_0736,5.3E-84,304,5.25E-84,304
STM0760,SL1344_0737,0,803,0,803
STM0761,SL1344_0738,3.71E-122,431,3.67E-122,431
STM0762,SL1344_0739,0,681,0,681
STM0763,SL1344_0740,0,665,0,665
STM0764,SL1344_0741,0,744,0,744
STM0765,SL1344_0742,0,894,0,894
STM0766,SL1344_0743,5.97E-34,112,5.91E-34,112
STM0768,SL1344_0055,0,532,0,532
STM0768,SL1344_0745,0,532,0,532
STM0768,SL1344_3323,0,526,0,526
STM0769,SL1344_0746,2.27E-160,559,2.25E-160,559
STM0770,SL1344_0747,0,898,0,898
STM0771,SL1344_0748,0,628,0,628
STM0772,SL1344_0749,1.03E-169,590,1.02E-169,590
STM0773,SL1344_0750,0,848,0,848
STM0774,SL1344_0751,0,857,0,857
STM0775,SL1344_0752,0,874,0,874
STM0776,SL1344_0753,0,825,0,825
STM0777,SL1344_0754,0,653,0,653
STM0778,SL1344_0755,0,1134,0,1134
STM0779,SL1344_0756,2.79E-152,296,2.77E-152,296
STM0780,SL1344_0757,5.44E-30,122,5.39E-30,122
STM0781,SL1344_0758,1.27E-171,596,8.28E-179,620
STM0782,SL1344_0759,1.22E-135,371,1.21E-135,371
STM0783,SL1344_0760,0,793,0,793
STM0784,SL1344_0761,0,654,0,654
STM0785,SL1344_0762,0,790,0,790
STM0786,SL1344_0763,0,1018,0,1018
STM0787,SL1344_0764,0,970,0,970
STM0788,SL1344_0765,0,725,0,725
STM0789,SL1344_0766,1.36E-153,536,1.24E-153,536
STM0791,SL1344_0768,0,1079,0,1079
STM0792,SL1344_0769,2.93E-101,341,2.9E-101,341
STM0793,SL1344_0770,0,1050,0,1050
STM0794,SL1344_0771,0,793,0,793
STM0795,SL1344_0772,0,830,0,830
STM0796,SL1344_0773,5.47E-174,604,5.42E-174,604
STM0797,SL1344_0774,3.88E-155,541,3.84E-155,541
STM0798,SL1344_0775,0,1541,0,1541
STM0800,SL1344_0776,0,1835,0,1835
STM0801,SL1344_0777,2.4E-180,347,2.37E-180,347
STM0802,SL1344_0778,0,793,0,793
STM0803,SL1344_0779,1.33E-118,419,1.32E-118,419
STM0804,SL1344_0780,7.72E-105,374,7.65E-105,374
STM0805,SL1344_0781,2.6E-55,208,2.57E-55,208
STM0806,SL1344_0782,3.18E-103,368,3.15E-103,368
STM0807,SL1344_0783,1.43E-162,566,1.41E-162,566
STM0808,SL1344_0784,1.83E-177,615,1.81E-177,615
STM0809,SL1344_0785,2.44E-131,462,2.42E-131,462
STM0810,SL1344_0786,7.84E-119,420,7.76E-119,420
STM0811,SL1344_0787,0,779,0,779
STM0812,SL1344_0788,0,968,0,968
STM0813,SL1344_0789,0,627,0,627
STM0814,SL1344_0790,1.61E-80,292,1.6E-80,292
STM0815,SL1344_0791,0,831,0,831
STM0816,SL1344_0792,0,914,0,914
STM0817,SL1344_0793,0,1362,0,1362
STM0819,SL1344_0795,6.66E-158,550,6.59E-158,550
STM0820,SL1344_0796,0,872,0,872
STM0821,SL1344_0797,0,1576,0,1576
STM0822,SL1344_0798,0,771,0,771
STM0823,SL1344_0799,2.71E-47,181,2.68E-47,181
STM0825,SL1344_0800,1.38E-58,219,1.36E-58,219
STM0826,SL1344_0801,0,449,0,449
STM0827,SL1344_0802,0,1465,0,1465
STM0828,SL1344_0803,9.93E-150,523,9.84E-150,523
STM0829,SL1344_0804,1.42E-155,543,1.41E-155,543
STM0830,SL1344_0805,6.84E-169,587,6.78E-169,587
STM0831,SL1344_0806,5.44E-112,397,5.39E-112,397
STM0832,SL1344_0807,0,636,0,636
STM0833,SL1344_0808,1.15E-112,400,1.14E-112,400
STM0834,SL1344_0809,0,1250,0,1250
STM0835,SL1344_0810,2.88E-109,388,2.85E-109,388
STM0836,SL1344_0811,0,852,0,852
STM0837,SL1344_0812,0,700,0,700
STM0838,SL1344_0813,0,1246,0,1246
STM0839,SL1344_0814,2.63E-173,602,2.6E-173,602
STM0841,SL1344_0817,0,997,0,997
STM0842,SL1344_0818,0,643,0,643
STM0843,SL1344_0819,0,1838,0,1838
STM0844,SL1344_0820,0,733,0,733
STM0845,SL1344_0821,2.09E-170,592,2.07E-170,592
STM0846,SL1344_0822,0,988,0,988
STM0847,SL1344_0823,0,703,0,703
STM0848,SL1344_0824,0,1439,0,1439
STM0849,SL1344_0825,0,1139,0,1139
STM0850,SL1344_0826,0,752,0,752
STM0851,SL1344_0827,0,710,0,710
STM0852,SL1344_0828,0,1032,0,1032
STM0853,SL1344_0829,1.16E-81,296,1.15E-81,296
STM0854,SL1344_0830,4.46E-117,414,4.41E-117,414
STM0855,SL1344_0831,0,654,0,654
STM0856,SL1344_0832,0,730,0,730
STM0857,SL1344_0833,0,940,0,940
STM0858,SL1344_0834,0,1371,0,1371
STM0859,SL1344_0835,0,723,0,723
STM0860,SL1344_0836,6.03E-100,357,5.97E-100,357
STM0861,SL1344_0837,2.03E-163,569,2.01E-163,569
STM0862,SL1344_0838,2.74E-144,505,2.71E-144,505
STM0863,SL1344_0839,0,947,0,947
STM0864,SL1344_0840,0,626,0,626
STM0865,SL1344_0841,4.98E-144,504,4.93E-144,504
STM0866,SL1344_0842,0,910,0,910
STM0867,SL1344_0843,5.11E-176,611,5.06E-176,611
STM0868,SL1344_0844,0,933,0,933
STM0869,SL1344_0845,3.43E-139,488,3.4E-139,488
STM0870,SL1344_0846,0,1188,0,1188
STM0871,SL1344_0847,1.08E-79,270,1.07E-79,270
STM0872,SL1344_0848,2.6E-58,218,2.57E-58,218
STM0873,SL1344_0849,2.36E-63,235,2.34E-63,235
STM0874,SL1344_0850,1.3E-133,336,1.15E-133,336
STM0875,SL1344_0852,0,695,0,695
STM0876,SL1344_0853,1.21E-102,366,1.2E-102,366
STM0877,SL1344_0854,0,889,0,889
STM0878,SL1344_0855,0,893,0,893
STM0879,SL1344_0856,0,684,0,684
STM0880,SL1344_0857,0,423,0,423
STM0881,SL1344_0858,7.47E-105,374,7.4E-105,374
STM0882,SL1344_0859,0,912,0,912
STM0884,SL1344_0860,0,1069,0,1069
STM0885,SL1344_0861,9.78E-71,259,9.68E-71,259
STM0886,SL1344_0862,0,1250,0,1250
STM0887,SL1344_0863,1.88E-169,589,1.88E-169,589
STM0888,SL1344_0864,2.96E-152,532,2.93E-152,532
STM0889,SL1344_0865,2.99E-155,542,2.96E-155,542
STM0890,SL1344_0866,7.23E-166,577,7.22E-166,577
STM0891,SL1344_0867,6.19E-164,571,6.13E-164,571
STM0892,SL1344_0868,8.35E-109,387,8.27E-109,387
STM0898,SL1344_1967,3.65E-65,176,3.61E-65,176
STM0906,SL1344_1957,1.73E-80,292,1.71E-80,292
STM0907,SL1344_1956,2.47E-131,462,2.26E-122,432
STM0908,SL1344_1955,1.25E-98,353,1.24E-98,353
STM0909,SL1344_1801,3.59E-52,199,1.16E-52,199
STM0930,SL1344_0869,1.07E-75,276,1.06E-75,276
STM0931,SL1344_0870,0,659,0,659
STM0932,SL1344_0871,0,819,0,819
STM0933,SL1344_0872,0,1088,0,1088
STM0934,SL1344_0873,0,777,0,777
STM0935,SL1344_0874,0,1279,0,1279
STM0936,SL1344_0875,0,747,0,747
STM0937,SL1344_0876,0,1295,0,1295
STM0938,SL1344_0877,0,643,0,643
STM0939,SL1344_0878,0,1313,0,1313
STM0940,SL1344_0879,0,761,0,761
STM0941,SL1344_0880,0,822,0,822
STM0942,SL1344_0881,0,1230,0,1230
STM0943,SL1344_0882,8.62E-49,186,8.54E-49,186
STM0944,SL1344_0883,1.24E-69,256,1.23E-69,256
STM0945,SL1344_0884,0,1765,0,1765
STM0946,SL1344_0885,6.61E-108,384,6.55E-108,384
STM0946,SL1344_1166,6.61E-108,384,7.52E-108,384
STM0946,SL1344_1746,6.61E-108,384,6.55E-108,384
STM0946,SL1344_1886,6.61E-108,384,7.52E-108,384
STM0946,SL1344_2434,6.61E-108,384,6.55E-108,384
STM0946,SL1344_3267,6.61E-108,384,6.55E-108,384
STM0946,SL1344_3446,6.61E-108,384,6.55E-108,384
STM0947,SL1344_0886,5.3E-159,554,5.25E-159,554
STM0948,SL1344_0887,1.96E-91,329,1.95E-91,329
STM0950,SL1344_0888,1.01E-142,412,9.96E-143,412
STM0951,SL1344_0889,0,697,0,697
STM0952,SL1344_0890,0,647,0,647
STM0953,SL1344_0891,2.42E-49,188,2.4E-49,188
STM0954,SL1344_0892,5.68E-73,267,4.5E-73,267
STM0955,SL1344_0893,2.12E-167,582,2.1E-167,582
STM0956,SL1344_0894,0,957,0,957
STM0957,SL1344_0895,0,1353,0,1353
STM0958,SL1344_0896,0,731,0,731
STM0959,SL1344_0897,1.39E-111,396,1.38E-111,396
STM0961,SL1344_0899,4E-141,495,3.96E-141,495
STM0962,SL1344_0900,0,1057,0,1057
STM0963,SL1344_0901,0,1025,0,1025
STM0964,SL1344_0902,0,1964,0,1964
STM0965,SL1344_0903,1.54E-153,536,1.53E-153,536
STM0965,SL1344_1427,3.99E-153,534,3.96E-153,534
STM0966,SL1344_0904,3.38E-179,423,3.35E-179,423
STM0968,SL1344_0905,0,874,0,874
STM0969,SL1344_0906,0,1186,0,1186
STM0970,SL1344_0907,0,642,0,642
STM0971,SL1344_0908,5.77E-76,277,5.71E-76,277
STM0972,SL1344_0909,0,774,0,774
STM0973,SL1344_0910,0,1757,0,1757
STM0974,SL1344_0911,0,700,0,700
STM0975,SL1344_0912,0,1291,0,1291
STM0976,SL1344_0913,4.97E-166,577,4.92E-166,577
STM0977,SL1344_0914,0,872,0,872
STM0978,SL1344_0915,0,1033,0,1033
STM0979,SL1344_0916,7.58E-178,617,7.51E-178,617
STM0980,SL1344_0917,3.86E-155,541,3.82E-155,541
STM0981,SL1344_0918,0,1051,0,1051
STM0982,SL1344_0919,1.14E-62,232,1.13E-62,232
STM0983,SL1344_0920,0,1208,0,1208
STM0984,SL1344_0921,0,1251,0,1251
STM0985,SL1344_0922,0,460,0,460
STM0986,SL1344_0923,0,1008,0,1008
STM0987,SL1344_0924,5.25E-39,153,5.2E-39,153
STM0988,SL1344_0925,2.08E-166,579,2.06E-166,579
STM0989,SL1344_0926,0,731,0,731
STM0990,SL1344_0927,1.72E-147,516,1.7E-147,516
STM0991,SL1344_0928,0,654,0,654
STM0992,SL1344_0929,0,1002,0,1002
STM0993,SL1344_0930,2.49E-157,549,2.46E-157,549
STM0994,SL1344_0931,0,3104,0,3104
STM0995,SL1344_0932,0,1356,0,1356
STM0996,SL1344_0933,1.69E-128,452,1.67E-128,452
STM0997,SL1344_0934,3.08E-153,535,3.05E-153,535
STM0998,SL1344_0935,0,939,0,939
STM0999,SL1344_0936,0,820,0,820
STM1000,SL1344_0937,0,1122,0,1122
STM1001,SL1344_0938,4.14E-102,364,4.1E-102,364
STM1002,SL1344_0939,0,982,0,982
STM1003,SL1344_0940,0,1190,0,1190
STM1004,SL1344_0941,0,968,0,968
STM1005,SL1344_0942,0,1058,0,1058
STM1006,SL1344_0943,4.8E-55,207,4.75E-55,207
STM1007,SL1344_0944,1.14E-54,205,1.13E-54,205
STM1007,SL1344_2598,1.99E-53,201,1.97E-53,201
STM1008,SL1344_0945,0,869,0,866
STM1008,SL1344_2597A,0,866,0,864
STM1009,SL1344_0946,0,2210,0,2209
STM1010,SL1344_0947,8.13E-66,243,8.05E-66,243
STM1011,SL1344_0949,1.97E-55,208,1.95E-55,208
STM1012,SL1344_0950,6.67E-78,284,5.14E-78,284
STM1013,SL1344_0951,4E-85,308,3.96E-85,308
STM1014,SL1344_0952,0,798,0,798
STM1015,SL1344_0953,8.73E-172,597,8.64E-172,597
STM1016,SL1344_0954,8.03E-79,286,7.95E-79,286
STM1017,SL1344_0955,4.17E-69,254,4.13E-69,254
STM1018,SL1344_0956,1.18E-62,232,1.16E-62,232
STM1019,SL1344_0957,4.29E-51,193,4.25E-51,193
STM1019,SL1344_2584,1.94E-49,188,1.92E-49,188
STM1020,SL1344_0958,6.28E-143,500,6.22E-143,500
STM1021,SL1344_0959,1.52E-129,456,1.51E-129,456
STM1022,SL1344_0961,0,653,0,653
STM1023,SL1344_0962,2.71E-71,261,2.68E-71,261
STM1024,SL1344_0963,1.54E-24,103,1.53E-24,103
STM1025,SL1344_0964,4.68E-112,397,4.64E-112,397
STM1028,SL1344_0966,4.73E-100,358,4.68E-100,358
STM1028,SL1344_2576,1.82E-96,346,1.81E-96,346
STM1029,SL1344_0967,8.9E-111,393,6.27E-106,377
STM1030,SL1344_0968,1.28E-109,390,1.27E-109,390
STM1031,SL1344_0969,0,1624,0,1624
STM1032,SL1344_0971,0,1038,0,1038
STM1033,SL1344_0972,0,1320,0,1320
STM1034,SL1344_0973,2.16E-76,278,2.14E-76,278
STM1035,SL1344_0974,4.97E-68,250,4.92E-68,250
STM1036,SL1344_0975,3.59E-133,468,3.55E-133,468
STM1037,SL1344_0976,2.3E-97,348,2.28E-97,348
STM1038,SL1344_0977,6.88E-165,574,6.18E-165,574
STM1039,SL1344_0978,2.3E-93,335,2.28E-93,335
STM1040,SL1344_0979,7.33E-59,220,5.16E-59,220
STM1041,SL1344_0980,0,1302,0,1301
STM1042,SL1344_0981,4.67E-77,281,4.63E-77,281
STM1043,SL1344_0982,2.64E-119,422,2.62E-119,422
STM1044,SL1344_0983,3.33E-125,441,3.29E-125,441
STM1045,SL1344_0984,6.37E-169,587,6.31E-169,587
STM1046,SL1344_0985,0,634,0,634
STM1047,SL1344_0986,8.85E-173,600,8.76E-173,600
STM1048,SL1344_0987,0,1949,0,1941
STM1049,SL1344_0988,0,1169,0,1169
STM1050,SL1344_0989,1.55E-138,486,1.53E-138,486
STM1051,SL1344_0991,0,799,0,799
STM1053,SL1344_0993,7.68E-149,520,7.6E-149,520
STM1054,SL1344_0994,3.09E-66,244,3.06E-66,244
STM1055,SL1344_0995,6.76E-162,564,6.69E-162,564
STM1056,SL1344_0996,6.08E-40,156,6.02E-40,156
STM1057,SL1344_0997,0,2019,0,2019
STM1058,SL1344_0998,0,796,0,796
STM1059,SL1344_0999,1.42E-126,446,1.4E-126,446
STM1060,SL1344_1000,0,855,0,855
STM1061,SL1344_1001,0,1566,0,1566
STM1062,SL1344_1002,0,1406,0,1406
STM1063,SL1344_1003,0,1000,0,1000
STM1064,SL1344_1004,0,1245,0,1245
STM1065,SL1344_1005,2.4E-132,465,2.37E-132,465
STM1066,SL1344_1006,1.3E-36,144,1.29E-36,144
STM1067,SL1344_1007,1.47E-119,423,1.45E-119,423
STM1068,SL1344_1008,0,1228,0,1215
STM1069,SL1344_1009,3.76E-101,361,3.72E-101,361
STM1070,SL1344_1010,0,773,0,773
STM1071,SL1344_1011,4.06E-100,358,4.02E-100,358
STM1072,SL1344_1012,3.09E-138,485,3.06E-138,485
STM1073,SL1344_1013,0,1097,0,1097
STM1074,SL1344_1014,1.79E-100,359,1.77E-100,359
STM1075,SL1344_1015,0,1636,0,1636
STM1076,SL1344_1016,2.19E-106,379,2.17E-106,379
STM1077,SL1344_1017,8.9E-154,537,8.81E-154,537
STM1078,SL1344_1018,2.65E-98,352,2.62E-98,352
STM1079,SL1344_1019,9.5E-71,259,9.41E-71,259
STM1080,SL1344_1020,0,957,0,957
STM1081,SL1344_1021,1.7E-124,439,1.68E-124,439
STM1082,SL1344_1022,4.86E-180,624,4.82E-180,624
STM1083,SL1344_1023,2.68E-61,228,2.65E-61,228
STM1084,SL1344_1024,1.62E-72,265,1.6E-72,265
STM1085,SL1344_1025,1.68E-137,483,1.42E-137,483
STM1087,SL1344_1026,3.27E-161,561,3.24E-161,561
STM1088,SL1344_1027,0,704,0,704
STM1089,SL1344_1028,5.53E-68,250,5.63E-68,250
STM1090,SL1344_1029,3.78E-74,271,3.74E-74,271
STM1091,SL1344_1030,0,1306,0,1306
STM1092,SL1344_1031,3.81E-37,146,3.78E-37,146
STM1093,SL1344_1032,8.75E-23,97.7,8.66E-23,97.7
STM1094,SL1344_1033,0,1194,0,1194
STM1095,SL1344_1034,0,1043,0,1043
STM1096,SL1344_1035,1.77E-168,586,1.76E-168,586
STM1097,SL1344_1036,2.81E-91,328,2.78E-91,328
STM1098,SL1344_1037,1.44E-119,423,1.43E-119,423
STM1099,SL1344_1038,0,1268,0,1268
STM1100,SL1344_1039,1.92E-101,362,1.9E-101,362
STM1101,SL1344_1040,0,904,0,904
STM1102,SL1344_1041,0,1169,0,1169
STM1103,SL1344_1042,0,698,0,698
STM1104,SL1344_1043,7.8E-85,307,7.73E-85,307
STM1105,SL1344_1044,0,639,0,639
STM1106,SL1344_1045,2.06E-169,589,2.04E-169,589
STM1107,SL1344_1046,0,1105,0,1105
STM1108,SL1344_1047,0,728,0,728
STM1109,SL1344_1048,0,730,0,730
STM1110,SL1344_1049,1.72E-83,302,1.71E-83,302
STM1111,SL1344_1050,1.91E-57,152,1.89E-57,152
STM1112,SL1344_1051,0,734,0,734
STM1113,SL1344_1052,2.59E-80,292,2.57E-80,292
STM1114,SL1344_1053,0,1504,0,1504
STM1115,SL1344_1054,1.83E-139,489,1.81E-139,489
STM1116,SL1344_1055,2.91E-104,372,2.88E-104,372
STM1117,SL1344_1056,0,957,0,957
STM1118,SL1344_1057,2.17E-51,194,2.15E-51,194
STM1119,SL1344_1058,2.03E-141,495,2.01E-141,495
STM1121,SL1344_1059,7.12E-38,149,7.05E-38,149
STM1122,SL1344_1060,7.26E-140,490,7.19E-140,490
STM1123,SL1344_1061,4.26E-85,308,4.21E-85,308
STM1124,SL1344_1062,0,2613,0,2613
STM1125,SL1344_1063,0,1086,0,1086
STM1126,SL1344_1064,0,686,0,686
STM1127,SL1344_1065,0,731,0,731
STM1128,SL1344_1066,0,1132,0,1132
STM1129,SL1344_1067,7.24E-163,567,7.17E-163,567
STM1130,SL1344_1068,0,921,0,921
STM1131,SL1344_1069,1.29E-161,563,1.28E-161,563
STM1132,SL1344_1070,0,1015,0,1015
STM1133,SL1344_1071,0,878,0,878
STM1135,SL1344_1072,0,753,0,753
