gene_name,type,new_locus,old_locus
ycaR, protein_coding, STM14_RS05385, STM14_1116
kdsB, protein_coding, STM14_RS05390, STM14_1117
STM14_RS05395, protein_coding, STM14_RS05395, STM14_1119
elyC, protein_coding, STM14_RS05400, STM14_1120
cmoM, protein_coding, STM14_RS05405, STM14_1121
mukF, protein_coding, STM14_RS05410, STM14_1122
mukE, protein_coding, STM14_RS05415, STM14_1123
mukB, protein_coding, STM14_RS05420, STM14_1124
ldtD, protein_coding, STM14_RS05425, STM14_1125
STM14_RS05430, protein_coding, STM14_RS05430, STM14_1126
STM14_RS05435, protein_coding, STM14_RS05435, STM14_1127
aspC, protein_coding, STM14_RS05440, STM14_1128
ompF, protein_coding, STM14_RS05445, STM14_1130
asnS, protein_coding, STM14_RS05450, STM14_1132
STM14_RS05455, protein_coding, STM14_RS05455, STM14_1134
dpaL, protein_coding, STM14_RS05465, STM14_1136
STM14_RS05470, protein_coding, STM14_RS05470, STM14_1138
pncB, protein_coding, STM14_RS05475, STM14_1139
STM14_RS05480, protein_coding, STM14_RS05480, STM14_1140
STM14_RS05485, protein_coding, STM14_RS05485, STM14_1141
STM14_RS05490, protein_coding, STM14_RS05490, STM14_1142
STM14_RS05495, protein_coding, STM14_RS05495, STM14_1143
STM14_RS05500, protein_coding, STM14_RS05500, STM14_1144
STM14_RS05505, protein_coding, STM14_RS05505, STM14_1145
STM14_RS05510, protein_coding, STM14_RS05510, STM14_1146
STM14_RS25910, protein_coding, STM14_RS25910, STM14_1147
STM14_RS05515, protein_coding, STM14_RS05515, STM14_1148
STM14_RS05520, protein_coding, STM14_RS05520, STM14_1149
STM14_RS05525, protein_coding, STM14_RS05525, STM14_1150
STM14_RS05530, protein_coding, STM14_RS05530, STM14_1151
STM14_RS05535, protein_coding, STM14_RS05535, STM14_1152
STM14_RS05540, protein_coding, STM14_RS05540, STM14_1153
STM14_RS05545, protein_coding, STM14_RS05545, STM14_1154
STM14_RS05550, protein_coding, STM14_RS05550, STM14_1155
STM14_RS05555, protein_coding, STM14_RS05555, STM14_1156
STM14_RS05560, protein_coding, STM14_RS05560, STM14_1157
STM14_RS05565, protein_coding, STM14_RS05565, STM14_1158
STM14_RS26725, protein_coding, STM14_RS26725, STM14_1159
STM14_RS05575, protein_coding, STM14_RS05575, STM14_1160
STM14_RS05580, protein_coding, STM14_RS05580, STM14_1161
STM14_RS05585, protein_coding, STM14_RS05585, STM14_1162
STM14_RS05590, protein_coding, STM14_RS05590, STM14_1163
STM14_RS05595, protein_coding, STM14_RS05595, STM14_1164
STM14_RS05600, protein_coding, STM14_RS05600, STM14_1165
gtgA, protein_coding, STM14_RS05605, STM14_1166
STM14_RS05610, protein_coding, STM14_RS05610, STM14_1167
STM14_RS05615, protein_coding, STM14_RS05615, STM14_1168
STM14_RS05620, protein_coding, STM14_RS05620, STM14_1169
STM14_RS05625, protein_coding, STM14_RS05625, STM14_1170
STM14_RS05630, protein_coding, STM14_RS05630, STM14_1171
STM14_RS05635, protein_coding, STM14_RS05635,
STM14_RS05640, protein_coding, STM14_RS05640, STM14_1172
STM14_RS05645, protein_coding, STM14_RS05645, STM14_1173
STM14_RS05650, protein_coding, STM14_RS05650, STM14_1174
STM14_RS05655, protein_coding, STM14_RS05655, STM14_1175
STM14_RS05660, protein_coding, STM14_RS05660, STM14_1176
STM14_RS05665, protein_coding, STM14_RS05665, STM14_1177
STM14_RS05670, protein_coding, STM14_RS05670, STM14_1178
STM14_RS05675, protein_coding, STM14_RS05675, STM14_1179
STM14_RS05680, protein_coding, STM14_RS05680, STM14_1180
STM14_RS05685, protein_coding, STM14_RS05685, STM14_1181
STM14_RS05690, protein_coding, STM14_RS05690, STM14_1182
STM14_RS05695, protein_coding, STM14_RS05695, STM14_1183
sodC1, protein_coding, STM14_RS05700, STM14_1184
STM14_RS05705, protein_coding, STM14_RS05705, STM14_1185
STM14_RS05710, protein_coding, STM14_RS05710, STM14_1186
STM14_RS05715, protein_coding, STM14_RS05715, STM14_1187
STM14_RS26310, pseudogene, STM14_RS26310, STM14_1188
STM14_RS26730, protein_coding, STM14_RS26730,
STM14_RS05725, protein_coding, STM14_RS05725, STM14_1189
STM14_RS05730, protein_coding, STM14_RS05730, STM14_1190
STM14_RS05735, protein_coding, STM14_RS05735, STM14_1191
STM14_RS24595, pseudogene, STM14_RS24595,
STM14_RS26735, pseudogene, STM14_RS26735,
sseI, protein_coding, STM14_RS05745, STM14_1193
STM14_RS25930, pseudogene, STM14_RS25930, STM14_1194
STM14_RS05755, protein_coding, STM14_RS05755, STM14_1195
STM14_RS05760, protein_coding, STM14_RS05760, STM14_1196
gtgE, protein_coding, STM14_RS05765, STM14_1197
STM14_RS05770, protein_coding, STM14_RS05770, STM14_1198
pepN, protein_coding, STM14_RS05775, STM14_1199
pyrD, protein_coding, STM14_RS05780, STM14_1200
zapC, protein_coding, STM14_RS05785, STM14_1202
STM14_RS05790, protein_coding, STM14_RS05790, STM14_1203
rlmKL, protein_coding, STM14_RS05795, STM14_1204
STM14_RS05800, protein_coding, STM14_RS05800, STM14_1205
pqiA, protein_coding, STM14_RS05805, STM14_1206
pqiB, protein_coding, STM14_RS05810, STM14_1207
pqiC, protein_coding, STM14_RS05815, STM14_1208
rmf, protein_coding, STM14_RS05820, STM14_1210
fabA, protein_coding, STM14_RS05825, STM14_1211
STM14_RS05830, protein_coding, STM14_RS05830, STM14_1212
matP, protein_coding, STM14_RS05835, STM14_1213
ompA, protein_coding, STM14_RS05840, STM14_1214
sulA, protein_coding, STM14_RS05845, STM14_1215
STM14_RS05850, protein_coding, STM14_RS05850, STM14_1217
yccS, protein_coding, STM14_RS05855, STM14_1218
STM14_RS05860, protein_coding, STM14_RS05860, STM14_1219
helD, protein_coding, STM14_RS05865, STM14_1220
mgsA, protein_coding, STM14_RS05870, STM14_1221
STM14_RS05875, protein_coding, STM14_RS05875, STM14_1222
STM14_RS05880, protein_coding, STM14_RS05880, STM14_1223
hspQ, protein_coding, STM14_RS05885, STM14_1224
rlmI, protein_coding, STM14_RS05890, STM14_1225
STM14_RS05895, protein_coding, STM14_RS05895, STM14_1226
STM14_RS05900, protein_coding, STM14_RS05900, STM14_1227
yccX, protein_coding, STM14_RS05905, STM14_1228
tusE, protein_coding, STM14_RS05910, STM14_1229
yccA, protein_coding, STM14_RS05915, STM14_1230
STM14_RS05920, tRNA, STM14_RS05920, STM14_1231
pipA, protein_coding, STM14_RS05925, STM14_1232
pipB, protein_coding, STM14_RS05930, STM14_1233
STM14_RS05935, protein_coding, STM14_RS05935, STM14_1235
sigE, protein_coding, STM14_RS05940, STM14_1236
sopB, protein_coding, STM14_RS05945, STM14_1237
STM14_RS05950, protein_coding, STM14_RS05950, STM14_1238
STM14_RS05955, protein_coding, STM14_RS05955, STM14_1239
STM14_RS05960, protein_coding, STM14_RS05960, STM14_1240
STM14_RS05965, protein_coding, STM14_RS05965, STM14_1241
hprR, protein_coding, STM14_RS05970, STM14_1242
hiuH, protein_coding, STM14_RS05975, STM14_1243
STM14_RS05980, protein_coding, STM14_RS05980, STM14_1246
hpaB, protein_coding, STM14_RS05985, STM14_1247
hpaR, protein_coding, STM14_RS05990, STM14_1248
hpaG, protein_coding, STM14_RS05995, STM14_1250
hpaE, protein_coding, STM14_RS06000, STM14_1251
hpaD, protein_coding, STM14_RS06005, STM14_1252
STM14_RS06010, protein_coding, STM14_RS06010, STM14_1253
hpaH, protein_coding, STM14_RS06015, STM14_1255
hpaI, protein_coding, STM14_RS06020, STM14_1256
hpaX, protein_coding, STM14_RS06025, STM14_1257
hpaA, protein_coding, STM14_RS06030, STM14_1258
STM14_RS06035, protein_coding, STM14_RS06035, STM14_1259
iraM, protein_coding, STM14_RS06040, STM14_1261
cbpM, protein_coding, STM14_RS06045, STM14_1263
cbpA, protein_coding, STM14_RS06050, STM14_1264
STM14_RS06055, protein_coding, STM14_RS06055, STM14_1266
STM14_RS06060, protein_coding, STM14_RS06060, STM14_1267
STM14_RS06065, protein_coding, STM14_RS06065, STM14_1268
STM14_RS06070, protein_coding, STM14_RS06070, STM14_1269
agp, protein_coding, STM14_RS06075, STM14_1270
STM14_RS06080, protein_coding, STM14_RS06080, STM14_1271
wrbA, protein_coding, STM14_RS06085, STM14_1272
STM14_RS06090, protein_coding, STM14_RS06090, STM14_1275
rutR, protein_coding, STM14_RS06095, STM14_1276
STM14_RS06100, protein_coding, STM14_RS06100, STM14_1277
putA, protein_coding, STM14_RS06105, STM14_1278
putP, protein_coding, STM14_RS06110, STM14_1281
phoH, protein_coding, STM14_RS06120, STM14_1284
STM14_RS06125, protein_coding, STM14_RS06125, STM14_1285
STM14_RS06130, protein_coding, STM14_RS06130, STM14_1287
STM14_RS06135, protein_coding, STM14_RS06135, STM14_1290
STM14_RS06140, protein_coding, STM14_RS06140, STM14_1293
STM14_RS06145, protein_coding, STM14_RS06145, STM14_1294
STM14_RS06150, protein_coding, STM14_RS06150, STM14_1295
STM14_RS06155, protein_coding, STM14_RS06155, STM14_1296
STM14_RS24180, ncRNA, STM14_RS24180,
STM14_RS24185, ncRNA, STM14_RS24185,
STM14_RS06165, tRNA, STM14_RS06165, STM14_1297
ghrA, protein_coding, STM14_RS06175, STM14_1299
STM14_RS06180, protein_coding, STM14_RS06180, STM14_1300
STM14_RS06185, protein_coding, STM14_RS06185, STM14_1301
STM14_RS06190, protein_coding, STM14_RS06190, STM14_1302
csgG, protein_coding, STM14_RS06195, STM14_1303
csgF, protein_coding, STM14_RS06200, STM14_1304
csgE, protein_coding, STM14_RS06205, STM14_1305
csgD, protein_coding, STM14_RS06210, STM14_1306
csgB, protein_coding, STM14_RS06215, STM14_1309
csgA, protein_coding, STM14_RS06220, STM14_1310
csgC, protein_coding, STM14_RS06225, STM14_1311
STM14_RS06230, protein_coding, STM14_RS06230, STM14_1312
ymdB, protein_coding, STM14_RS06235, STM14_1313
STM14_RS06240, protein_coding, STM14_RS06240, STM14_1314
mdoC, protein_coding, STM14_RS06245, STM14_1315
mdoG, protein_coding, STM14_RS06250, STM14_1317
mdoH, protein_coding, STM14_RS06255, STM14_1318
STM14_RS06260, protein_coding, STM14_RS06260, STM14_1319
STM14_RS06265, protein_coding, STM14_RS06265, STM14_1320
mdtG, protein_coding, STM14_RS06270, STM14_1321
STM14_RS06275, protein_coding, STM14_RS06275, STM14_1323
STM14_RS06280, protein_coding, STM14_RS06280, STM14_1324
STM14_RS06285, protein_coding, STM14_RS06285, STM14_1325
STM14_RS06290, protein_coding, STM14_RS06290, STM14_1326
STM14_RS06295, protein_coding, STM14_RS06295, STM14_1328
solA, protein_coding, STM14_RS06300, STM14_1329
bssS, protein_coding, STM14_RS06305, STM14_1330
dinI, protein_coding, STM14_RS06310, STM14_1331
pyrC, protein_coding, STM14_RS06315, STM14_1332
STM14_RS06320, protein_coding, STM14_RS06320, STM14_1333
grxB, protein_coding, STM14_RS06325, STM14_1334
mdtH, protein_coding, STM14_RS06330, STM14_1335
rimJ, protein_coding, STM14_RS06335, STM14_1336
STM14_RS06340, protein_coding, STM14_RS06340, STM14_1337
STM14_RS06345, protein_coding, STM14_RS06345, STM14_1338
murJ, protein_coding, STM14_RS06350, STM14_1340
flgN, protein_coding, STM14_RS06355, STM14_1341
flgM, protein_coding, STM14_RS06360, STM14_1342
flgA, protein_coding, STM14_RS06365, STM14_1343
flgB, protein_coding, STM14_RS06370, STM14_1345
flgC, protein_coding, STM14_RS06375, STM14_1346
flgD, protein_coding, STM14_RS06380, STM14_1347
flgE, protein_coding, STM14_RS06385, STM14_1348
STM14_RS06390, protein_coding, STM14_RS06390, STM14_1349
flgG, protein_coding, STM14_RS06395, STM14_1350
flgH, protein_coding, STM14_RS06400, STM14_1351
STM14_RS06405, protein_coding, STM14_RS06405, STM14_1352
flgJ, protein_coding, STM14_RS06410, STM14_1353
flgK, protein_coding, STM14_RS06415, STM14_1354
flgL, protein_coding, STM14_RS06420, STM14_1355
rne, protein_coding, STM14_RS06425, STM14_1357
rluC, protein_coding, STM14_RS06435, STM14_1359
STM14_RS06440, protein_coding, STM14_RS06440, STM14_1360
STM14_RS06445, protein_coding, STM14_RS06445, STM14_1361
STM14_RS06450, protein_coding, STM14_RS06450, STM14_1362
yceD, protein_coding, STM14_RS06455, STM14_1363
rpmF, protein_coding, STM14_RS06460, STM14_1364
plsX, protein_coding, STM14_RS06465, STM14_1365
fabH, protein_coding, STM14_RS06470, STM14_1366
fabD, protein_coding, STM14_RS06475, STM14_1367
fabG, protein_coding, STM14_RS06480, STM14_1368
acpP, protein_coding, STM14_RS06485, STM14_1369
fabF, protein_coding, STM14_RS06490, STM14_1370
pabC, protein_coding, STM14_RS06495, STM14_1371
yceG, protein_coding, STM14_RS06500, STM14_1372
tmk, protein_coding, STM14_RS06505, STM14_1373
holB, protein_coding, STM14_RS06510, STM14_1374
STM14_RS06515, protein_coding, STM14_RS06515, STM14_1375
ptsG, protein_coding, STM14_RS06520, STM14_1377
fhuE, protein_coding, STM14_RS06525, STM14_1378
hinT, protein_coding, STM14_RS06530, STM14_1379
STM14_RS06535, protein_coding, STM14_RS06535, STM14_1380
lpoB, protein_coding, STM14_RS06540, STM14_1381
thiK, protein_coding, STM14_RS06545, STM14_1382
nagZ, protein_coding, STM14_RS06550, STM14_1383
ycfP, protein_coding, STM14_RS06555, STM14_1384
ndh, protein_coding, STM14_RS06560, STM14_1385
STM14_RS06565, protein_coding, STM14_RS06565, STM14_1386
comR, protein_coding, STM14_RS06570, STM14_1387
bhsA, protein_coding, STM14_RS06575, STM14_1388
STM14_RS06580, protein_coding, STM14_RS06580, STM14_1389
mfd, protein_coding, STM14_RS06585, STM14_1391
lolC, protein_coding, STM14_RS06590, STM14_1392
lolD, protein_coding, STM14_RS06595, STM14_1393
lolE, protein_coding, STM14_RS06600, STM14_1394
nagK, protein_coding, STM14_RS06605, STM14_1395
cobB, protein_coding, STM14_RS06610, STM14_1396
potD, protein_coding, STM14_RS06615, STM14_1397
potC, protein_coding, STM14_RS06620, STM14_1398
sifA, protein_coding, STM14_RS06625, STM14_1400
potB, protein_coding, STM14_RS06630, STM14_1402
potA, protein_coding, STM14_RS06635, STM14_1403
pepT, protein_coding, STM14_RS06640, STM14_1404
tnpA, protein_coding, STM14_RS06645, STM14_1406
STM14_RS06650, protein_coding, STM14_RS06650,
STM14_RS06655, protein_coding, STM14_RS06655, STM14_1407
phoQ, protein_coding, STM14_RS06660, STM14_1408
phoP, protein_coding, STM14_RS06665, STM14_1409
purB, protein_coding, STM14_RS06670, STM14_1410
hflD, protein_coding, STM14_RS06675, STM14_1411
mnmA, protein_coding, STM14_RS06680, STM14_1412
STM14_RS06685, protein_coding, STM14_RS06685, STM14_1413
STM14_RS06690, protein_coding, STM14_RS06690, STM14_1414
rluE, protein_coding, STM14_RS06695, STM14_1415
icd, protein_coding, STM14_RS06700, STM14_1416
STM14_RS06705, protein_coding, STM14_RS06705, STM14_1417
STM14_RS06710, protein_coding, STM14_RS06710, STM14_1418
STM14_RS24665, protein_coding, STM14_RS24665, STM14_1419
STM14_RS06720, protein_coding, STM14_RS06720, STM14_1420
STM14_RS06725, protein_coding, STM14_RS06725, STM14_1421
recT, protein_coding, STM14_RS06730, STM14_1422
STM14_RS26630, pseudogene, STM14_RS26630, STM14_1423
STM14_RS26635, protein_coding, STM14_RS26635, STM14_1425
STM14_RS26740, pseudogene, STM14_RS26740, STM14_1426
STM14_RS06745, protein_coding, STM14_RS06745, STM14_1427
STM14_RS06750, protein_coding, STM14_RS06750, STM14_1428
STM14_RS06755, protein_coding, STM14_RS06755, STM14_1429
STM14_RS06760, protein_coding, STM14_RS06760, STM14_1430
STM14_RS06765, protein_coding, STM14_RS06765, STM14_1431
STM14_RS06770, protein_coding, STM14_RS06770, STM14_1432
STM14_RS06775, protein_coding, STM14_RS06775, STM14_1433
STM14_RS06780, protein_coding, STM14_RS06780, STM14_1434
STM14_RS06785, protein_coding, STM14_RS06785, STM14_1435
STM14_RS06790, protein_coding, STM14_RS06790, STM14_1436
STM14_RS06795, protein_coding, STM14_RS06795, STM14_1437
STM14_RS06805, protein_coding, STM14_RS06805, STM14_1439
STM14_RS24670, protein_coding, STM14_RS24670, STM14_1440
STM14_RS06815, protein_coding, STM14_RS06815, STM14_1441
STM14_RS06820, protein_coding, STM14_RS06820, STM14_1442
STM14_RS06825, protein_coding, STM14_RS06825, STM14_1443
STM14_RS06830, protein_coding, STM14_RS06830, STM14_1444
STM14_RS06835, protein_coding, STM14_RS06835, STM14_1446
STM14_RS06840, protein_coding, STM14_RS06840, STM14_1447
STM14_RS06845, protein_coding, STM14_RS06845, STM14_1448
STM14_RS06850, protein_coding, STM14_RS06850, STM14_1449
STM14_RS06855, protein_coding, STM14_RS06855, STM14_1450
STM14_RS06860, protein_coding, STM14_RS06860, STM14_1451
STM14_RS06865, protein_coding, STM14_RS06865, STM14_1453
STM14_RS06870, protein_coding, STM14_RS06870, STM14_1454
STM14_RS06875, protein_coding, STM14_RS06875, STM14_1455
STM14_RS06880, protein_coding, STM14_RS06880, STM14_1456
STM14_RS06885, protein_coding, STM14_RS06885, STM14_1457
STM14_RS06890, protein_coding, STM14_RS06890, STM14_1458
STM14_RS06895, protein_coding, STM14_RS06895, STM14_1459
STM14_RS06900, protein_coding, STM14_RS06900, STM14_1460
STM14_RS06905, protein_coding, STM14_RS06905, STM14_1461
STM14_RS06910, pseudogene, STM14_RS06910, STM14_1462
STM14_RS06915, protein_coding, STM14_RS06915, STM14_1463
STM14_RS06920, protein_coding, STM14_RS06920, STM14_1464
STM14_RS06925, protein_coding, STM14_RS06925, STM14_1465
STM14_RS06930, protein_coding, STM14_RS06930, STM14_1466
STM14_RS06935, protein_coding, STM14_RS06935, STM14_1467
STM14_RS06940, protein_coding, STM14_RS06940, STM14_1468
STM14_RS06945, protein_coding, STM14_RS06945, STM14_1469
STM14_RS06950, protein_coding, STM14_RS06950, STM14_1470
STM14_RS06955, protein_coding, STM14_RS06955, STM14_1471
STM14_RS06960, protein_coding, STM14_RS06960, STM14_1472
STM14_RS06965, protein_coding, STM14_RS06965,
STM14_RS06970, protein_coding, STM14_RS06970, STM14_1474
STM14_RS06975, protein_coding, STM14_RS06975, STM14_1475
STM14_RS06980, protein_coding, STM14_RS06980, STM14_1476
STM14_RS06985, protein_coding, STM14_RS06985, STM14_1478
STM14_RS06990, protein_coding, STM14_RS06990, STM14_1479
STM14_RS24685, protein_coding, STM14_RS24685, STM14_1480
STM14_RS26745, pseudogene, STM14_RS26745,
STM14_RS06995, protein_coding, STM14_RS06995,
STM14_RS24695, pseudogene, STM14_RS24695, STM14_1482
sspH1, protein_coding, STM14_RS07010, STM14_1483
STM14_RS25965, pseudogene, STM14_RS25965,
STM14_RS07015, protein_coding, STM14_RS07015, STM14_1484
STM14_RS24705, pseudogene, STM14_RS24705, STM14_1485
sopF, protein_coding, STM14_RS07020, STM14_1486
STM14_RS07030, protein_coding, STM14_RS07030, STM14_1490
msgA, protein_coding, STM14_RS07035, STM14_1492
STM14_RS07040, protein_coding, STM14_RS07040, STM14_1493
cspF, protein_coding, STM14_RS07045, STM14_1495
pagD, protein_coding, STM14_RS07050, STM14_1497
pagC, protein_coding, STM14_RS07065, STM14_1501
STM14_RS07075, tRNA, STM14_RS07075, STM14_1503
STM14_RS07080, protein_coding, STM14_RS07080, STM14_1505
STM14_RS25970, protein_coding, STM14_RS25970, STM14_1508
STM14_RS07105, protein_coding, STM14_RS07105, STM14_1509
STM14_RS07115, protein_coding, STM14_RS07115, STM14_1511
STM14_RS07120, protein_coding, STM14_RS07120, STM14_1512
STM14_RS07125, protein_coding, STM14_RS07125, STM14_1513
STM14_RS07130, protein_coding, STM14_RS07130, STM14_1515
STM14_RS07135, protein_coding, STM14_RS07135, STM14_1516
STM14_RS07140, protein_coding, STM14_RS07140, STM14_1517
STM14_RS07145, protein_coding, STM14_RS07145, STM14_1518
STM14_RS07150, protein_coding, STM14_RS07150, STM14_1519
STM14_RS07155, protein_coding, STM14_RS07155, STM14_1520
STM14_RS07160, protein_coding, STM14_RS07160, STM14_1521
STM14_RS07165, tRNA, STM14_RS07165, STM14_1522
zinT, protein_coding, STM14_RS07170, STM14_1523
aadA, protein_coding, STM14_RS07175, STM14_1525
STM14_RS07180, protein_coding, STM14_RS07180, STM14_1526
STM14_RS07185, protein_coding, STM14_RS07185, STM14_1527
STM14_RS07190, protein_coding, STM14_RS07190, STM14_1529
STM14_RS07195, protein_coding, STM14_RS07195, STM14_1530
STM14_RS07200, protein_coding, STM14_RS07200, STM14_1531
leuE, protein_coding, STM14_RS07205, STM14_1532
yeaR, protein_coding, STM14_RS07210, STM14_1534
STM14_RS07215, protein_coding, STM14_RS07215, STM14_1535
STM14_RS07220, protein_coding, STM14_RS07220, STM14_1537
STM14_RS07230, protein_coding, STM14_RS07230, STM14_1539
STM14_RS26325, protein_coding, STM14_RS26325, STM14_1541
STM14_RS07235, protein_coding, STM14_RS07235, STM14_1542
STM14_RS07240, protein_coding, STM14_RS07240, STM14_1543
STM14_RS07245, protein_coding, STM14_RS07245, STM14_1544
STM14_RS07250, protein_coding, STM14_RS07250, STM14_1547
STM14_RS07255, protein_coding, STM14_RS07255, STM14_1548
STM14_RS07260, protein_coding, STM14_RS07260, STM14_1549
yoaI, protein_coding, STM14_RS07265, STM14_1551
STM14_RS07270, protein_coding, STM14_RS07270, STM14_1552
dgcJ, protein_coding, STM14_RS07275, STM14_1553
STM14_RS26550, protein_coding, STM14_RS26550, STM14_1554
STM14_RS07280, protein_coding, STM14_RS07280, STM14_1556
yeaG, protein_coding, STM14_RS07285, STM14_1558
STM14_RS07290, protein_coding, STM14_RS07290, STM14_1560
STM14_RS07295, protein_coding, STM14_RS07295, STM14_1561
STM14_RS07300, protein_coding, STM14_RS07300, STM14_1562
STM14_RS07305, protein_coding, STM14_RS07305, STM14_1563
gapA, protein_coding, STM14_RS07310, STM14_1565
msrB, protein_coding, STM14_RS07315, STM14_1567
STM14_RS07320, protein_coding, STM14_RS07320, STM14_1568
pncA, protein_coding, STM14_RS07325, STM14_1570
ansA, protein_coding, STM14_RS07330, STM14_1571
sppA, protein_coding, STM14_RS07335, STM14_1573
STM14_RS07340, protein_coding, STM14_RS07340, STM14_1574
selD, protein_coding, STM14_RS07345, STM14_1575
topB, protein_coding, STM14_RS07350, STM14_1576
gdhA, protein_coding, STM14_RS07355, STM14_1577
STM14_RS07360, protein_coding, STM14_RS07360, STM14_1578
STM14_RS07365, protein_coding, STM14_RS07365, STM14_1579
xthA, protein_coding, STM14_RS07370, STM14_1580
STM14_RS07375, protein_coding, STM14_RS07375, STM14_1582
astA, protein_coding, STM14_RS07380, STM14_1583
astD, protein_coding, STM14_RS07385, STM14_1584
astB, protein_coding, STM14_RS07390, STM14_1585
astE, protein_coding, STM14_RS07395, STM14_1586
spy, protein_coding, STM14_RS07400, STM14_1588
cho, protein_coding, STM14_RS07405, STM14_1589
nadE, protein_coding, STM14_RS07410, STM14_1590
osmE, protein_coding, STM14_RS07415, STM14_1592
chbB, protein_coding, STM14_RS07420, STM14_1594
chbC, protein_coding, STM14_RS07425, STM14_1595
chbA, protein_coding, STM14_RS07430, STM14_1596
chbR, protein_coding, STM14_RS07435, STM14_1597
STM14_RS07440, protein_coding, STM14_RS07440, STM14_1598
chbG, protein_coding, STM14_RS07445, STM14_1599
katE, protein_coding, STM14_RS07450, STM14_1600
cedA, protein_coding, STM14_RS07455, STM14_1603
tcyP, protein_coding, STM14_RS07460, STM14_1604
STM14_RS07465, protein_coding, STM14_RS07465, STM14_1605
hxpB, protein_coding, STM14_RS07470, STM14_1606
STM14_RS07475, protein_coding, STM14_RS07475, STM14_1607
STM14_RS07480, protein_coding, STM14_RS07480, STM14_1608
ghoS, protein_coding, STM14_RS07485, STM14_1609
pfkB, protein_coding, STM14_RS07490, STM14_1610
STM14_RS07495, protein_coding, STM14_RS07495, STM14_1611
STM14_RS07500, protein_coding, STM14_RS07500, STM14_1612
STM14_RS07505, protein_coding, STM14_RS07505, STM14_1613
STM14_RS07510, protein_coding, STM14_RS07510, STM14_1614
STM14_RS07515, protein_coding, STM14_RS07515, STM14_1615
STM14_RS07520, protein_coding, STM14_RS07520, STM14_1616
thrS, protein_coding, STM14_RS07525, STM14_1619
infC, protein_coding, STM14_RS07530, STM14_1620
rpmI, protein_coding, STM14_RS07535, STM14_1621
rplT, protein_coding, STM14_RS07540, STM14_1622
pheM, protein_coding, STM14_RS26330,
pheS, protein_coding, STM14_RS07545, STM14_1624
pheT, protein_coding, STM14_RS07550, STM14_1625
ihfA, protein_coding, STM14_RS07555, STM14_1626
btuC, protein_coding, STM14_RS07560, STM14_1627
STM14_RS07565, protein_coding, STM14_RS07565, STM14_1628
btuD, protein_coding, STM14_RS07570, STM14_1629
STM14_RS07575, protein_coding, STM14_RS07575, STM14_1630
ydiV, protein_coding, STM14_RS07580, STM14_1632
selO, protein_coding, STM14_RS07585, STM14_1633
hemP, protein_coding, STM14_RS07590, STM14_1634
aroH, protein_coding, STM14_RS07595, STM14_1635
ppsR, protein_coding, STM14_RS07600, STM14_1637
ppsA, protein_coding, STM14_RS07605, STM14_1639
fadK, protein_coding, STM14_RS07610, STM14_1640
STM14_RS07615, protein_coding, STM14_RS07615, STM14_1641
STM14_RS07620, protein_coding, STM14_RS07620, STM14_1642
STM14_RS07625, protein_coding, STM14_RS07625, STM14_1643
STM14_RS07630, protein_coding, STM14_RS07630, STM14_1644
STM14_RS07635, protein_coding, STM14_RS07635, STM14_1646
STM14_RS07640, protein_coding, STM14_RS07640, STM14_1647
STM14_RS07645, protein_coding, STM14_RS07645, STM14_1648
aroD, protein_coding, STM14_RS07650, STM14_1649
ydiB, protein_coding, STM14_RS07655, STM14_1650
STM14_RS07660, protein_coding, STM14_RS07660, STM14_1651
STM14_RS07665, protein_coding, STM14_RS07665, STM14_1654
STM14_RS07670, protein_coding, STM14_RS07670, STM14_1655
rprA, antisense_RNA, STM14_RS24190, STM14_1656
ydiK, protein_coding, STM14_RS07675, STM14_1657
STM14_RS07680, protein_coding, STM14_RS07680, STM14_1659
menI, protein_coding, STM14_RS07685, STM14_1660
STM14_RS07690, protein_coding, STM14_RS07690, STM14_1661
STM14_RS07695, protein_coding, STM14_RS07695, STM14_1662
sufA, protein_coding, STM14_RS07700, STM14_1663
sufB, protein_coding, STM14_RS07705, STM14_1664
sufC, protein_coding, STM14_RS07710, STM14_1665
sufD, protein_coding, STM14_RS07715, STM14_1666
sufS, protein_coding, STM14_RS07720, STM14_1667
sufE, protein_coding, STM14_RS07725, STM14_1668
STM14_RS07730, protein_coding, STM14_RS07730, STM14_1669
STM14_RS07735, protein_coding, STM14_RS07735, STM14_1670
lpp, protein_coding, STM14_RS07740, STM14_1671
pykF, protein_coding, STM14_RS07745, STM14_1672
STM14_RS07750, protein_coding, STM14_RS07750, STM14_1673
STM14_RS07755, protein_coding, STM14_RS07755, STM14_1674
STM14_RS07760, protein_coding, STM14_RS07760, STM14_1675
STM14_RS07765, protein_coding, STM14_RS07765, STM14_1676
ttrA, protein_coding, STM14_RS07770, STM14_1677
ttrC, protein_coding, STM14_RS07775, STM14_1678
ttrB, protein_coding, STM14_RS07780, STM14_1679
ttrS, protein_coding, STM14_RS07785, STM14_1680
ttrR, protein_coding, STM14_RS07790, STM14_1681
fumD, protein_coding, STM14_RS07795, STM14_1682
mlrB, protein_coding, STM14_RS07800, STM14_1683
STM14_RS07805, protein_coding, STM14_RS07805, STM14_1684
STM14_RS07810, protein_coding, STM14_RS07810, STM14_1686
STM14_RS07815, protein_coding, STM14_RS07815, STM14_1687
spiC, protein_coding, STM14_RS07820, STM14_1688
spiA, protein_coding, STM14_RS07825, STM14_1689
